npl,total assets,debt to equity,ROA,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,date,risk based capital ratio,total liabilities,total interest expense,total debt,interest rate,total equity,ROE,equity assets ratio,NPL_tot_loans,tot_loans_tot_assets,loan deposit ratio
5943,2533600,237.3022,0.9729,13.9,1264,930697,1,JPM,2017-12-31,15.9,2277907,3966,606765,0.006536303,255693,9.5869,0.100920824,0.006385537,0.367341727,64.4535
5883,2609785,248.7808,1.0359,13.5,1299.5,934424,1,JPM,2018-03-31,15.3,2353584,4383,637379,0.006876599,256201,10.4303,0.098169389,0.006295857,0.358046352,62.8412
5310,2590050,248.9629,1.0864,13.6,1335,948414,1,JPM,2018-06-30,15.5,2332592,5081,640975,0.007926986,257458,10.8509,0.099402714,0.005598821,0.366175943,65.3123
4644,2615183,249.4883,1.1448,13.6,1252,954318,1,JPM,2018-09-30,15.4,2356227,5531,646065,0.008561058,258956,11.4587,0.099020222,0.004866302,0.364914425,65.4197
4831,2622532,250.3238,1.2596,13.7,1033,984554,1,JPM,2018-12-31,15.5,2366017,6684,642118,0.010409302,256515,12.68,0.097811962,0.00490679,0.375421158,66.9461
5272,2737188,283.7533,1.2321,13.8,1236,956245,1,JPM,2019-03-31,15.7,2477351,6936,737296,0.009407348,259837,12.7669,0.094928445,0.005513231,0.349353059,64.0296
4870,2727379,262.3676,1.2892,14,1361,956889,1,JPM,2019-06-30,15.8,2464164,7205,690591,0.010433093,263215,13.1664,0.096508406,0.00508941,0.350845629,62.7731
4951,2764661,268.8214,1.3003,14.1,1403,945218,1,JPM,2019-09-30,15.9,2500313,6893,710624,0.009699926,264348,13.3678,0.095616786,0.005237945,0.341892912,61.9709
4080,2687379,236.4857,1.3722,14.1,1371,997620,1,JPM,2019-12-31,16,2426049,5761,618008,0.009321886,261330,14.0702,0.097243448,0.004089734,0.371224156,63.8505
6613,3139431,283.7504,1.025,13.3,1469,1015375,1,JPM,2020-03-31,15.5,2878169,4722,741332,0.006369616,261262,11.559,0.083219539,0.006512865,0.323426443,55.3034
9319,3213115,280.4841,0.8468,14.3,1560,978518,1,JPM,2020-06-30,16.7,2948649,2259,741785,0.003045357,264466,9.533,0.08230829,0.009523586,0.304538742,50.6734
11002,3246076,254.4946,0.849,15,1180,989740,1,JPM,2020-09-30,17.3,2974963,1687,689968,0.002445041,271113,9.5301,0.083520226,0.011116051,0.30490352,49.452
10573,3384757,239.0322,0.9595,15,1050,1012853,1,JPM,2020-12-31,17.3,3105403,1292,667746,0.001934867,279354,10.7756,0.082532956,0.01043883,0.299239502,47.2356
9706,3689336,282.6453,1.1881,15,1057,1011307,1,JPM,2021-03-31,17.2,3408622,1382,793425,0.001741816,280714,14.9697,0.076087946,0.009597481,0.274116264,44.3923
9072,3684256,259.9533,1.3868,15.1,734,1040954,1,JPM,2021-06-30,17.1,3397870,1353,744470,0.0018174,286386,17.3647,0.077732383,0.008715083,0.28254117,45.1564
8243,3757576,257.8715,1.4299,15.8,524,1044615,1,JPM,2021-09-30,16.9,3467535,1400,747933,0.001871825,290041,17.8457,0.077188326,0.007890945,0.278002361,43.483
7795,3743567,232.0746,1.3561,15,550,1077714,1,JPM,2021-12-31,16.8,3449440,1418,682594,0.00207737,294127,16.8564,0.078568649,0.007232902,0.287884256,43.7685
7758,3954687,257.9428,1.1072,13.7,582,1073285,1,JPM,2022-03-31,15.4,3668788,1624,737456,0.002202165,285899,14.9365,0.072293711,0.007228276,0.271395688,41.9054
7162,3841314,253.7927,1.0369,14.1,657,1104155,1,JPM,2022-06-30,15.7,3555171,3518,726210,0.004844329,286143,13.6297,0.074490916,0.006486408,0.287442006,44.6747
6674,3773884,253.0279,0.9843,14.1,727,1112633,1,JPM,2022-09-30,16,3485866,8093,728766,0.011105074,288018,12.8246,0.076318721,0.005998384,0.294824377,46.1939
6720,3665743,236.0785,1.017,14.9,887,1135647,1,JPM,2022-12-31,16.8,3373411,12862,690133,0.018636987,292332,12.8486,0.079746998,0.005917332,0.309799951,48.5282
6895,3744305,248.215,1.0915,15.4,1137,1128896,1,JPM,2023-03-31,17.4,3441223,16293,752295,0.021657727,303082,14.2674,0.080944795,0.006107737,0.301496806,47.4874
7273,3868240,266.2388,1.241,15.4,1411,1300069,1,JPM,2023-06-30,17.3,3555724,19865,832039,0.023875083,312516,15.9821,0.08079023,0.005594318,0.336087988,54.193
7520,3898333,276.0492,1.3361,15.9,1497,1310059,1,JPM,2023-09-30,17.8,3580962,21830,876100,0.024917247,317371,16.9323,0.081411978,0.005740199,0.336056207,55.0555
6917,3875393,251.4673,1.3142,16.6,2164,1323706,1,JPM,2023-12-31,18.4,3547515,23333,824506,0.02829937,327878,15.9791,0.084605097,0.005225481,0.341566907,55.1386
7677,4090727,296.1564,1.2852,16.4,1956,1309616,1,JPM,2024-03-31,18.2,3754090,24356,996972,0.024429974,336637,15.741,0.082292707,0.005862024,0.320142605,53.929
7791,4143003,318.3153,1.3488,16.7,2231,1320700,1,JPM,2024-06-30,18.5,3802451,25767,1084029,0.023769659,340552,16.5453,0.082199313,0.005899144,0.318778432,55.1088
8075,4210048,310.2803,1.3264,16.4,2087,1340011,1,JPM,2024-09-30,18.2,3864212,27011,1073061,0.025171915,345836,16.2161,0.082145382,0.00602607,0.31828877,55.127
8837,4002814,272.8264,1.4844,16.8,2364,1347988,1,JPM,2024-12-31,18.5,3658056,24216,940591,0.025745515,344758,17.3856,0.086128908,0.006555696,0.336760089,56.0254
82.872,18221.163,44.7519,0.7914,12,7.785,13660.869,0,Wintrust Financial,2014-03-31,12.6,16281.02,17.32,868.251,0.019948149,1940.143,7.4171,0.106477452,0.006066378,0.749725415,90.2956
77.344,18895.681,50.7343,0.7914,11.7,6.584,14388.777,0,Wintrust Financial,2014-06-30,13.2,16897.446,17.37,1013.791,0.017133709,1998.235,7.5044,0.105750886,0.0053753,0.761484966,92.4944
