npl,total assets,debt to equity,ROA,ROE - COM,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,loan deposit ratio,date,risk based capital ratio
1142,463844,106.6947,1.3195,13.366,11.1,340,280944,1,US Bank,13.366,2017-06-30,13.2
1035,459227,102.0668,1.3169,13.3646,11.1,330,282476,1,US Bank,13.3646,2017-09-30,13.2
1008,462040,98.4778,1.3696,13.9046,10.8,325,283986,1,US Bank,13.9046,2017-12-31,12.9
1024,460119,102.1922,1.4115,14.2756,10.4,341,282688,1,US Bank,14.2756,2018-03-31,12.5
912,461329,110.0503,1.4419,14.6581,10.5,332,283433,1,US Bank,14.6581,2018-06-30,12.6
813,464607,126.9669,1.4985,15.1579,10.6,328,285994,1,US Bank,15.1579,2018-09-30,12.6
817,467374,107.3988,1.527,15.3672,10.7,353,288866,1,US Bank,15.3672,2018-12-31,12.6
858,475775,109.084,1.5215,15.2011,10.9,367,290424,1,US Bank,15.2011,2019-03-31,12.8
803,481719,107.2488,1.5251,15.0925,14.3,350,295847,1,US Bank,15.0925,2019-06-30,13
829,487671,105.0695,1.5298,15.189,11.2,352,299166,1,US Bank,15.189,2019-09-30,13.2
692,495426,123.7277,1.4362,14.5432,10.7,385,301680,1,US Bank,14.5432,2019-12-31,12.7
815,542909,150.7649,1.2538,13.2797,10.5,393,322928,1,US Bank,13.2797,2020-03-31,12.7
1071,546652,120.3773,1.0218,10.6719,10.6,437,318513,1,US Bank,10.6719,2020-06-30,12.8
1181,540455,105.5851,0.9582,9.824,11,515,314603,1,US Bank,9.824,2020-09-30,13.1
1224,553905,101.0647,0.9452,9.981,11.3,441,306468,1,US Bank,9.981,2020-12-31,13.4
1128,553375,94.6643,1.107,12.5647,11.5,223,303418,1,US Bank,12.5647,2021-03-31,13.5
1018,558886,92.732,1.3317,15.1464,11.5,180,302768,1,US Bank,15.1464,2021-06-30,13.4
906,567495,95.1837,1.4096,15.8542,11.7,147,303799,1,US Bank,15.8542,2021-09-30,13.4
834,573284,81.4108,1.4129,15.9667,11.6,132,319803,1,US Bank,15.9667,2021-12-31,13.4
765,586517,104.4612,1.2703,15.3798,11.5,162,322255,1,US Bank,15.3798,2022-03-31,13.4
725,591381,110.8052,1.1804,14.5768,11.4,153,336312,1,US Bank,14.5768,2022-06-30,13.2
630,600973,119.4172,1.1251,14.1504,11.2,162,346355,1,US Bank,14.1504,2022-09-30,13.3
972,674805,141.601,0.9334,11.948,9.8,578,390413,1,US Bank,11.948,2022-12-31,11.9
1139,682377,185.0563,0.9403,12.4854,10,373,390247,1,US Bank,12.4854,2023-03-31,12.1
1041,680825,145.1219,0.9112,12.4332,10.6,649,381789,1,US Bank,12.4332,2023-06-30,12.7
1267,729625,236.2164,0.8277,11.8696,11.2,420,439156,1,US Bank,11.8696,2023-09-30,13.4
1449,663491,122.223,0.8113,10.978,11.5,463,376036,1,US Bank,10.978,2023-12-31,13.7
1741,683606,124.5605,0.7394,9.8788,11.6,488,376668,1,US Bank,9.8788,2024-03-31,13.7
1810,680058,121.7843,0.7777,10.2844,11.9,538,378715,1,US Bank,10.2844,2024-06-30,14
1809,686469,132.4101,0.7744,10.4044,12.2,564,377375,1,US Bank,10.4044,2024-09-30,14.2
1793,678318,126.8445,0.9389,11.8379,12.2,562,382405,1,US Bank,11.8379,2024-12-31,14.3
